2024-09-06 13:28:05,093 - INFO - Starting file categorization for folder: C:\Users\Abylaikhan Bari\Downloads\TestTask
2024-09-06 13:29:44,718 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Downloads\TestTask\3p\bmp, Modified time: 2024-07-19 15:25:04
2024-09-06 13:29:44,718 - DEBUG - Skipping file: C:\Users\Abylaikhan Bari\Downloads\TestTask\3p\bmp, size less than 1 bytes
2024-09-06 13:29:44,718 - INFO - Categorization complete. Categorized 5 file types.
2024-09-06 13:31:30,779 - INFO - Starting to categorize files in the folder: C:\Users\Abylaikhan Bari\Downloads\TestTask
2024-09-06 13:31:30,779 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Downloads\TestTask\README.txt, Last modified: 2024-07-19 15:23:00
2024-09-06 13:31:30,780 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Downloads\TestTask\1p\1ch\child.txt, Last modified: 2024-07-18 15:14:52
2024-09-06 13:31:30,780 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Downloads\TestTask\1p\1ch\%\Screenshot 2024-07-19.152529.png, Last modified: 2024-07-19 15:26:42
2024-09-06 13:31:30,780 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Downloads\TestTask\1p\1ch\%\--\p. - Copy.png, Last modified: 2024-07-19 15:26:42
2024-09-06 13:31:30,781 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Downloads\TestTask\1p\1ch\%\--\p..png, Last modified: 2024-07-19 15:26:42
2024-09-06 13:31:30,781 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Downloads\TestTask\1p\2ch\LICENSE.chromedriver, Last modified: 2024-07-19 15:23:34
2024-09-06 13:31:30,781 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Downloads\TestTask\1p\2ch\���⮩.pdf, Last modified: 2024-07-02 17:01:26
2024-09-06 13:31:30,782 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Downloads\TestTask\1p\3ch\_\__\New Microsoft Access Database.accdb, Last modified: 2024-07-19 15:24:42
2024-09-06 13:31:30,782 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Downloads\TestTask\1p\3ch\_\__\New Microsoft Word Document.docx, Last modified: 2024-07-19 15:24:54
2024-09-06 13:31:30,782 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Downloads\TestTask\3p\bmp, Last modified: 2024-07-19 15:25:04
2024-09-06 13:31:30,782 - INFO - File categorization complete. Found 7 different file types.
2024-09-06 13:32:26,316 - INFO - Starting to categorize files in the folder: C:\Users\Abylaikhan Bari\Documents\Diploma
2024-09-06 13:32:26,317 - DEBUG - Processing file: C:\Users\Abylaikhan Bari\Documents\Diploma\2022_БАК_Азберген_Төребек_Қуатұлы.pdf, Last modified: 2024-02-27 20:24:31.762880
